gz_id;categoria;label;nombre;nombrehoy;santo;variantes;partido_generico;provincia_generica;region;fuente;id_largo
7000309;Poblacion;Lampa;Lampa;;;;Santiago;Santiago;CHL;bueno;Lampa_Santiago_CHL_Poblacion
7000311;Poblacion;San Simon;San Simon;;;;Santiago;Santiago;CHL;bueno;San Simon_Santiago_CHL_Poblacion
7000313;Localidad;El Alto;El Alto;;;;Aconcagua;Santiago;CHL;censo1813;El Alto_Aconcagua_CHL_Localidad
7000314;Localidad;San Juan de Dios;San Juan de Dios;;;;Aconcagua;Santiago;CHL;censo1813;San Juan de Dios_Aconcagua_CHL_Localidad
7000315;Poblacion;Penco;Penco;;;"Concepcion Vieja;";Concepcion;Concepcion;CHL;bueno;Penco_Concepcion_CHL_Poblacion
7000316;Poblacion;Talcahuano;Talcahuano;;;;Concepcion;Concepcion;CHL;bueno;Talcahuano_Concepcion_CHL_Poblacion
7000317;Villa;Cauquenes;Nuestra Señora de la Merced de Manto;;Merced;;Cauquenes;Concepcion;CHL;goyeneche;Cauquenes_Cauquenes_CHL_Villa
7000318;Poblacion;Cuyuname;Cuyuname;;;;Cauquenes;Concepcion;CHL;goyeneche;Cuyuname_Cauquenes_CHL_Poblacion
7000319;Poblacion;Chanco;Chanco;;;;Cauquenes;Concepcion;CHL;goyeneche;Chanco_Cauquenes_CHL_Poblacion
7000320;Poblacion;La Isla;La Isla;;;"Isla de Maule;";Linares-Cauquenes;Concepcion;CHL;goyeneche;La Isla_Linares-Cauquenes_CHL_Poblacion
7000321;Poblacion;Putagan;Putagan;;;;Linares-Cauquenes;Concepcion;CHL;goyeneche;Putagan_Linares-Cauquenes_CHL_Poblacion
7000322;Poblacion;La Huerta;San Francisco de la Huerta;Huerta del Maule;San Francisco;"Huerta de Maule;";Linares-Cauquenes;Concepcion;CHL;goyeneche;La Huerta_Linares-Cauquenes_CHL_Poblacion
7000323;Poblacion;Villavicencio;Villavicencio;;;;Linares-Cauquenes;Concepcion;CHL;goyeneche;Villavicencio_Linares-Cauquenes_CHL_Poblacion
7000324;Poblacion;Tutuven;San Jose Tutuven;;San Jose;"Tutben;";Linares-Cauquenes;Concepcion;CHL;goyeneche;Tutuven_Linares-Cauquenes_CHL_Poblacion
7000325;Poblacion;Nirivilu;Nirivilu;;;;Linares-Cauquenes;Concepcion;CHL;goyeneche;Nirivilu_Linares-Cauquenes_CHL_Poblacion
7000326;Villa;Linares;San Ambrosio de Linares;;San Ambrosio;;Linares-Cauquenes;Concepcion;CHL;goyeneche;Linares_Linares-Cauquenes_CHL_Villa
7000327;Poblacion;Longavi;Longavi;;;;Linares-Cauquenes;Concepcion;CHL;goyeneche;Longavi_Linares-Cauquenes_CHL_Poblacion
7000328;Poblacion;Retiro;Retiro;;;;Linares-Cauquenes;Concepcion;CHL;goyeneche;Retiro_Linares-Cauquenes_CHL_Poblacion
7000329;Villa;Chillan;San Bartolome de Gamboa;;;;Chillan;Concepcion;CHL;goyeneche;Chillan_Chillan_CHL_Villa
7000330;Poblacion;Pemuco;Pemuco;;;"Temuco;";Chillan;Concepcion;CHL;goyeneche;Pemuco_Chillan_CHL_Poblacion
7000331;Pueblo;Diguillin;Diguillin;;;;Chillan;Concepcion;CHL;goyeneche;Diguillin_Chillan_CHL_Pueblo
7000332;Poblacion;Perquilauquen;Perquilauquen;Perquilauquen;;"Perquilahuquen; Perquilabquen; Perquilaoquen;";Linares-Chillan;Concepcion;CHL;goyeneche;Perquilauquen_Linares-Chillan_CHL_Poblacion
7000333;Villa;Parral;Parral;;;;Linares-Chillan;Concepcion;CHL;goyeneche;Parral_Linares-Chillan_CHL_Villa
7000334;Poblacion;Cocharca;Cocharca;Cocharcas;;;Linares-Chillan;Concepcion;CHL;goyeneche;Cocharca_Linares-Chillan_CHL_Poblacion
7000335;Poblacion;Ata;Ata;;;"Ala;";Linares-Chillan;Concepcion;CHL;goyeneche;Ata_Linares-Chillan_CHL_Poblacion
7000336;Poblacion;Ytrique;Ytrique;;;;Linares-Chillan;Concepcion;CHL;goyeneche;Ytrique_Linares-Chillan_CHL_Poblacion
7000337;Villa;San Carlos;San Carlos Itihue;;San Carlos;"San Carlos; Virquico;";Linares-Chillan;Concepcion;CHL;goyeneche;San Carlos_Linares-Chillan_CHL_Villa
7000338;Villa;Quirihue;Dulce Nombre de Maria de Quirihue;;;"San Antonio Abad de Quirihue; Quwerigue;";Itata;Concepcion;CHL;bueno;Quirihue_Itata_CHL_Villa
7000339;Poblacion;Ninhue;Ninhue;;;"Singue;";Itata;Concepcion;CHL;bueno;Ninhue_Itata_CHL_Poblacion
7000340;Poblacion;Cobquecura;Cobquecura;;;"Colquecura; Couque Cura; Covquecura;";Itata;Concepcion;CHL;mapa_parte;Cobquecura_Itata_CHL_Poblacion
